,fecha de nacimiento,clicks_en_web,puntaje,cantidad_mensajes,ingreso_estimado,categoria,cliente
0,1955-11-30 12:27:39.148023,50.10912137603911,232.10164447152067,135.2810469193533,91.23141776314915,Categoria D,Sí
1,1998-11-19 12:27:39.148023,2.1091213760391128,868.3081191909619,55.68722399120472,740.4216980891094,Categoria D,No
2,1962-11-28 12:27:39.148023,14.109121376039113,158.32317779275178,119.57475968211479,15.947268090935967,Categoria D,Sí
3,1967-11-27 12:27:39.148023,2.1091213760391128,1074.1715693531803,144.81786398402915,950.4864431525976,Categoria D,Sí
4,1982-11-23 12:27:39.148023,2.1091213760391128,205.07865953786325,37.891443620564104,63.65694334104971,Categoria D,No
5,2005-11-17 12:27:39.148023,38.10912137603911,358.2376721970287,80.45444240247178,219.9416501361165,Categoria D,Sí
6,1977-11-24 12:27:39.148023,9.890878623960887,174.51155649980282,50.85252574570387,32.46602187364112,Categoria D,No
7,1967-11-27 12:27:39.148023,2.1091213760391128,859.8367608659328,96.97285583404604,731.7774549003043,Categoria D,Sí
8,1962-11-28 12:27:39.148023,9.890878623960887,217.49964622518843,34.69383755601383,76.33141955260604,Categoria D,No
9,1921-12-08 12:27:39.148023,21.890878623960887,1541.580979420676,108.21197003876745,1427.434820772491,Categoria D,Sí
10,1957-11-29 12:27:39.148023,21.890878623960887,296.81719224391907,102.88087142321756,157.26769100029034,Categoria D,Sí
11,2002-11-18 12:27:39.148023,26.109121376039113,1167.2665286087154,46.22948793727222,1045.4812995357968,Categoria D,No
12,1975-11-25 12:27:39.148023,21.890878623960887,829.8424618525321,115.22075450293987,701.1710273356099,Categoria D,Sí
13,2000-11-18 12:27:39.148023,21.890878623960887,1451.1421254904471,102.43350032985657,1335.1502759457271,Categoria D,Sí
14,1992-11-20 12:27:39.148023,9.890878623960887,1037.0438204195239,35.20204384675652,912.60098505703,Categoria D,No
15,1980-11-23 12:27:39.148023,2.1091213760391128,1195.6964985628967,51.346872623382374,1074.491472958431,Categoria D,No
16,1974-11-25 12:27:39.148023,33.89087862396089,194.45003501151265,43.32276809083836,52.81140811007974,Categoria D,No
17,2005-11-17 12:27:39.148023,45.89087862396089,571.8792214933233,49.884444797756984,437.9432310507029,Categoria D,No
18,1987-11-22 12:27:39.148023,26.109121376039113,1721.1422050990543,106.26135403301802,1610.6605612606324,Categoria D,Sí
19,1978-11-24 12:27:39.148023,26.109121376039113,3285.7685155029867,48.26070069694844,3207.218020856482,Categoria D,No
20,1967-11-27 12:27:39.148023,62.10912137603911,385.83902230158526,21.89331945170803,248.1062930999497,Categoria D,No
21,2004-11-17 12:27:39.148023,2.1091213760391128,1508.0155782806437,113.07237190880721,1393.1844114459277,Categoria D,Sí
22,1957-11-29 12:27:39.148023,38.10912137603911,570.7129580247718,117.28872397719012,436.7531662868747,Categoria D,Sí
23,1986-11-22 12:27:39.148023,38.10912137603911,181.79168509690444,47.6530564567708,39.89472452374482,Categoria D,No
24,1968-11-26 12:27:39.148023,14.109121376039113,863.4078190107891,58.997308125715534,735.4213917828109,Categoria D,No
25,2003-11-18 12:27:39.148023,9.890878623960887,1860.289134874421,34.21469814058886,1752.6472242967209,Categoria D,No
26,1975-11-25 12:27:39.148023,9.890878623960887,1099.7204753090305,52.439566239079845,976.5567553524448,Categoria D,No
27,1996-11-19 12:27:39.148023,21.890878623960887,1042.1022275265666,65.70303911911232,917.7626249621756,Categoria D,No
28,1971-11-26 12:27:39.148023,45.89087862396089,631.4805484837648,130.65558428716915,498.7609116531941,Categoria D,Sí
29,1970-11-26 12:27:39.148023,2.1091213760391128,775.4441799389901,129.3871753980057,645.662576403424,Categoria D,Sí
30,1995-11-20 12:27:39.148023,14.109121376039113,162.1652849867552,103.09894851393832,19.86778563583744,Categoria D,Sí
31,1986-11-22 12:27:39.148023,2.1091213760391128,532.8233352661091,52.10231439102094,398.0902859208924,Categoria D,No
32,1966-11-27 12:27:39.148023,2.1091213760391128,1351.2217634914712,82.24428504739774,1233.1907228855475,Categoria D,Sí
33,1963-11-28 12:27:39.148023,9.890878623960887,2561.3646135122613,42.90478989291999,2468.030365763905,Categoria D,No
34,1957-11-29 12:27:39.148023,45.89087862396089,1506.6449400572076,57.43800153765982,1391.78580101385,Categoria D,No
35,1967-11-27 12:27:39.148023,26.109121376039113,707.1032639954203,103.1269793820796,575.9269478895774,Categoria D,Sí
36,1975-11-25 12:27:39.148023,33.89087862396089,924.2248200456866,42.13531584928774,797.4795561041348,Categoria D,No
37,1997-11-19 12:27:39.148023,26.109121376039113,511.5062933606032,38.23526845638917,376.3382023438456,Categoria D,No
38,1978-11-24 12:27:39.148023,14.109121376039113,1271.0240718651037,37.191932858510036,1151.3563436749685,Categoria D,No
39,1955-11-30 12:27:39.148023,33.89087862396089,384.2310564715017,93.95394498849329,246.4655116406808,Categoria D,Sí
40,1973-11-25 12:27:39.148023,14.109121376039113,1345.7064596837267,79.02894069865815,1227.5628618572368,Categoria D,Sí
41,1989-11-21 12:27:39.148023,2.1091213760391128,699.3956364359178,71.5996412564205,568.0620218084523,Categoria D,Sí
42,1980-11-23 12:27:39.148023,26.109121376039113,513.8538839176512,55.55545603070543,378.7337029122619,Categoria D,No
43,1959-11-29 12:27:39.148023,2.1091213760391128,388.5162649484859,54.39522322833798,250.83817335188917,Categoria D,No
44,1954-11-30 12:27:39.148023,9.890878623960887,960.9337834333219,53.062724883051835,834.9376820098851,Categoria D,No
45,1980-11-23 12:27:39.148023,2.1091213760391128,489.97436448697306,59.99149850197365,354.36684635034544,Categoria D,No
46,1988-11-21 12:27:39.148023,62.10912137603911,476.7219044251679,40.339368149559306,340.843927919932,Categoria D,No
47,1965-11-27 12:27:39.148023,14.109121376039113,1314.6524394427006,115.5498071166382,1195.8750861010878,Categoria D,Sí
48,1972-11-25 12:27:39.148023,9.890878623960887,1168.7942494072233,67.72204304884097,1047.0401983097845,Categoria D,Sí
49,1960-11-28 12:27:39.148023,26.109121376039113,2482.434557775053,42.96599907807189,2387.489492562672,Categoria D,No
50,1964-11-27 12:27:39.148023,21.890878623960887,2489.1368649672313,53.0256100228842,2394.3285815342824,Categoria D,No
51,1956-11-29 12:27:39.148023,33.89087862396089,1491.9039894536377,107.73804995718524,1376.7440146836766,Categoria D,Sí
52,1960-11-28 12:27:39.148023,33.89087862396089,170.08386156699083,89.78389724862254,27.947965819751342,Categoria D,Sí
53,1977-11-24 12:27:39.148023,14.109121376039113,695.6191277344208,76.38735631755176,564.2084415008023,Categoria D,Sí
54,1884-12-16 12:27:39.148023,33.89087862396089,3682.999032485264,42.83555842413523,3612.5552830832953,Categoria D,No
55,1998-11-19 12:27:39.148023,2.1091213760391128,1636.6937171113595,108.56663741060835,1524.4886347425766,Categoria D,Sí
56,1959-11-29 12:27:39.148023,21.890878623960887,226.32862730700967,101.33034444766336,85.34058392181137,Categoria D,Sí
57,2004-11-17 12:27:39.148023,14.109121376039113,219.6594167327586,106.04943795479562,78.53526700931026,Categoria D,Sí
